UF,Município,Marca Modelo,Ano Fabricação Veículo CRV,Qtd. Veículos
ALAGOAS,CORURIPE,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
ALAGOAS,MACEIO,AUDI/Q3 2.0 TFSI,2024,1.0
ALAGOAS,MACEIO,AUDI/Q3 SPB 2.0 TFSI,2024,6.0
ALAGOAS,MACEIO,I/AUDI A3 SD HIBRIDO,2024,3.0
ALAGOAS,MACEIO,I/AUDI A3 SEDAN 2.0,2024,2.0
ALAGOAS,MACEIO,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
ALAGOAS,MACEIO,I/AUDI Q3 2.0 TFSI,2024,4.0
ALAGOAS,MACEIO,I/AUDI Q3 SPB 2.0 TFSI,2024,3.0
ALAGOAS,MACEIO,I/AUDI Q5 2.0 TFSI,2024,3.0
ALAGOAS,MACEIO,I/AUDI Q5 P-HIBRIDO,2024,5.0
ALAGOAS,MACEIO,I/AUDI Q5 SB P-HIBRIDO,2024,3.0
ALAGOAS,MACEIO,I/AUDI Q7 HIBRIDO,2024,1.0
ALAGOAS,MACEIO,I/AUDI Q8 SB HIBRIDO,2024,1.0
ALAGOAS,MACEIO,I/AUDI RS6 AV PERF HIB,2024,1.0
ALAGOAS,MARECHAL DEODORO,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
ALAGOAS,TRAIPU,I/AUDI Q8 SB HIBRIDO,2024,1.0
AMAZONAS,MANAUS,I/AUDI A3 SB HIBRIDO,2024,6.0
AMAZONAS,MANAUS,I/AUDI A3 SD HIBRIDO,2024,8.0
AMAZONAS,MANAUS,I/AUDI A3 SEDAN 2.0,2024,1.0
AMAZONAS,MANAUS,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
AMAZONAS,MANAUS,I/AUDI A5 2.0 SB QUATTRO,2024,2.0
AMAZONAS,MANAUS,I/AUDI E TRON GT,2024,1.0
AMAZONAS,MANAUS,I/AUDI Q3 2.0 TFSI,2024,4.0
AMAZONAS,MANAUS,I/AUDI Q3 SPB 2.0 TFSI,2024,2.0
AMAZONAS,MANAUS,I/AUDI Q5 2.0 TFSI,2024,1.0
AMAZONAS,MANAUS,I/AUDI Q5 P-HIBRIDO,2024,3.0
AMAZONAS,MANAUS,I/AUDI Q5 SB P-HIBRIDO,2024,5.0
AMAZONAS,MANAUS,I/AUDI Q7 HIBRIDO,2024,1.0
AMAZONAS,MANAUS,I/AUDI RS6 AV PERF HIB,2024,1.0
BAHIA,BARREIRAS,I/AUDI RS6 AV PERF HIB,2024,1.0
BAHIA,CAMACARI,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
BAHIA,FEIRA DE SANTANA,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
BAHIA,FEIRA DE SANTANA,I/AUDI Q3 2.0 TFSI,2024,1.0
BAHIA,IBITIARA,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
BAHIA,JACOBINA,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
BAHIA,LAURO DE FREITAS,AUDI/Q3 SPB 2.0 TFSI,2024,1.0
BAHIA,LAURO DE FREITAS,I/AUDI Q3 2.0 TFSI,2024,1.0
BAHIA,MIGUEL CALMON,I/AUDI A3 SD HIBRIDO,2024,1.0
BAHIA,PEDRAO,AUDI/Q3 2.0 TFSI,2024,1.0
BAHIA,PEDRAO,I/AUDI Q3 SPB 2.0 TFSI,2024,1.0
BAHIA,PEDRAO,I/AUDI Q5 2.0 TFSI,2024,1.0
BAHIA,RIBEIRA DO POMBAL,I/AUDI Q5 SB P-HIBRIDO,2024,1.0
BAHIA,SALVADOR,AUDI/Q3 2.0 TFSI,2024,6.0
BAHIA,SALVADOR,AUDI/Q3 SPB 2.0 TFSI,2024,3.0
BAHIA,SALVADOR,I/AUDI A3 SB HIBRIDO,2024,3.0
BAHIA,SALVADOR,I/AUDI A3 SD HIBRIDO,2024,4.0
BAHIA,SALVADOR,I/AUDI A3 SEDAN 2.0,2024,1.0
BAHIA,SALVADOR,I/AUDI A4 2.0 SE QUATTRO,2024,2.0
BAHIA,SALVADOR,I/AUDI A5 2.0 SB QUATTRO,2024,4.0
BAHIA,SALVADOR,I/AUDI Q3 2.0 TFSI,2024,11.0
BAHIA,SALVADOR,I/AUDI Q3 SPB 2.0 TFSI,2024,8.0
BAHIA,SALVADOR,I/AUDI Q3 SPB 2.0 TSFI,2024,1.0
BAHIA,SALVADOR,I/AUDI Q5 2.0 TFSI,2024,9.0
BAHIA,SALVADOR,I/AUDI Q5 P-HIBRIDO,2024,4.0
BAHIA,SALVADOR,I/AUDI Q5 SB P-HIBRIDO,2024,4.0
BAHIA,SALVADOR,I/AUDI Q7 HIBRIDO,2024,1.0
BAHIA,SALVADOR,I/AUDI RS6 AV PERF HIB,2024,1.0
BAHIA,VITORIA DA CONQUISTA,I/AUDI Q3 2.0 TFSI,2024,1.0
CEARA,AQUIRAZ,I/AUDI A5 2.0 SB QUATTRO,2024,1.0
CEARA,EUSEBIO,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
CEARA,FORTALEZA,AUDI/Q3 2.0 TFSI,2024,1.0
CEARA,FORTALEZA,AUDI/Q3 SPB 2.0 TFSI,2024,2.0
CEARA,FORTALEZA,I/AUDI A3 SB HIBRIDO,2024,1.0
CEARA,FORTALEZA,I/AUDI A3 SD HIBRIDO,2024,1.0
CEARA,FORTALEZA,I/AUDI A3 SEDAN 2.0,2024,2.0
CEARA,FORTALEZA,I/AUDI A4 2.0 SE QUATTRO,2024,1.0
CEARA,FORTALEZA,I/AUDI A5 2.0 SB QUATTRO,2024,4.0
CEARA,FORTALEZA,I/AUDI Q3 2.0 TFSI,2024,7.0
CEARA,FORTALEZA,I/AUDI Q5 2.0 TFSI,2024,4.0
CEARA,FORTALEZA,I/AUDI Q5 P-HIBRIDO,2024,3.0
CEARA,FORTALEZA,I/AUDI Q5 SB P-HIBRIDO,2024,2.0
CEARA,FORTALEZA,I/AUDI Q6 ETRON QUATTRO,2024,1.0
CEARA,FORTALEZA,I/AUDI Q7 HIBRIDO,2024,1.0
CEARA,FORTALEZA,I/AUDI Q8 SB HIBRIDO,2024,2.0
CEARA,FORTALEZA,I/AUDI RS6 AV PERF HIB,2024,1.0
CEARA,MARACANAU,I/AUDI A3 SD HIBRIDO,2024,1.0
