UF,Município,Marca Modelo,Ano Fabricação Veículo CRV,Qtd. Veículos
ALAGOAS,MACEIO,I/PORSCHE 911 CARRERA,2024,1.0
ALAGOAS,MACEIO,I/PORSCHE BOXSTER,2024,1.0
ALAGOAS,MACEIO,I/PORSCHE CAYENNE CP PHE,2024,3.0
ALAGOAS,MACEIO,I/PORSCHE CAYENNE PHEV,2024,1.0
ALAGOAS,MACEIO,I/PORSCHE CAYENNE SCPHEV,2024,2.0
ALAGOAS,MACEIO,I/PORSCHE CAYENNE T PHEV,2024,1.0
ALAGOAS,MACEIO,I/PORSCHE MACAN,2024,1.0
AMAZONAS,MANAUS,I/PORSCHE BOXSTER GTS4.0,2024,1.0
AMAZONAS,MANAUS,I/PORSCHE CAYENNE PHEV,2024,1.0
AMAZONAS,MANAUS,I/PORSCHE CAYMAN,2024,1.0
AMAZONAS,MANAUS,I/PORSCHE CAYMAN STYLE,2024,1.0
BAHIA,ALAGOINHAS,I/PORSCHE BOXSTER GTS4.0,2024,1.0
BAHIA,ALAGOINHAS,I/PORSCHE MACAN T,2024,1.0
BAHIA,BARREIRAS,I/PORSCHE CAYENNE CP PHE,2024,1.0
BAHIA,CACHOEIRA,I/PORSCHE MACAN GTS,2024,1.0
BAHIA,CAETITE,I/PORSCHE MACAN,2024,1.0
BAHIA,CAMACARI,I/PORSCHE 911 TURBO S,2024,1.0
BAHIA,CAMACARI,I/PORSCHE BOXSTER,2024,2.0
BAHIA,CAMACARI,I/PORSCHE MACAN E4,2024,1.0
BAHIA,CAMACARI,I/PORSCHE PANAMERA 4EHYB,2024,1.0
BAHIA,CONCEICAO DO COITE,I/PORSCHE CAYENNE GT CP,2024,1.0
BAHIA,EUNAPOLIS,I/PORSCHE CAYENNE CP PHE,2024,1.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE 911 CAR 4GTS,2024,1.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE 911 CARRERA,2024,2.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE 911CARRERA GTS,2024,1.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE BOXSTER,2024,3.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE BOXSTER GTS4.0,2024,1.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE CAYENNE CP PHE,2024,4.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE CAYENNE PHEV,2024,3.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE CAYENNE S PHEV,2024,1.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE CAYMAN STYLE,2024,2.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE MACAN,2024,3.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE MACAN GTS,2024,1.0
BAHIA,FEIRA DE SANTANA,I/PORSCHE MACAN T,2024,2.0
BAHIA,GUANAMBI,I/PORSCHE CAYENNE CP PHE,2024,2.0
BAHIA,GUARATINGA,I/PORSCHE BOXSTER,2024,1.0
BAHIA,ILHEUS,I/PORSCHE CAYENNE SCPHEV,2024,1.0
BAHIA,IRECE,I/PORSCHE BOXSTER,2024,1.0
BAHIA,ITABUNA,I/PORSCHE MACAN,2024,1.0
BAHIA,ITABUNA,I/PORSCHE MACAN GTS,2024,1.0
BAHIA,ITAMARAJU,I/PORSCHE MACAN,2024,1.0
BAHIA,JACOBINA,I/PORSCHE CAYENNE PHEV,2024,1.0
BAHIA,JAGUAQUARA,I/PORSCHE CAYENNE S PHEV,2024,1.0
BAHIA,JAGUAQUARA,I/PORSCHE CAYMAN,2024,1.0
BAHIA,JANDAIRA,I/PORSCHE BOXSTER,2024,1.0
BAHIA,JEQUIE,I/PORSCHE CAYMAN,2024,1.0
BAHIA,JUAZEIRO,I/PORSCHE MACAN T,2024,1.0
BAHIA,LAURO DE FREITAS,I/PORSCHE 911 CAR GTS CA,2024,1.0
BAHIA,LAURO DE FREITAS,I/PORSCHE 911 CARRERA C,2024,1.0
BAHIA,LAURO DE FREITAS,I/PORSCHE CAYENNE PHEV,2024,1.0
BAHIA,LAURO DE FREITAS,I/PORSCHE CAYENNE SCPHEV,2024,1.0
BAHIA,LAURO DE FREITAS,I/PORSCHE MACAN,2024,4.0
BAHIA,LAURO DE FREITAS,I/PORSCHE PANAMERA 4EHYB,2024,1.0
BAHIA,LUIS EDUARDO MAGALHAES,I/PORSCHE BOXSTER,2024,1.0
BAHIA,MADRE DE DEUS,I/PORSCHE CAYENNE PHEV,2024,1.0
BAHIA,NOVA CANAA,I/PORSCHE BOXSTER,2024,1.0
BAHIA,PAULO AFONSO,I/PORSCHE BOXSTER,2024,1.0
BAHIA,PIATA,I/PORSCHE MACAN,2024,2.0
BAHIA,PIRAI DO NORTE,I/PORSCHE CAYENNE PHEV,2024,1.0
BAHIA,POCOES,I/PORSCHE 911 CARRERA C,2024,1.0
